nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0000108,Luc Besson,1959.0,,"writer,producer,director","tt0119116,tt2872732,tt0110413,tt0100263","Luc Besson is a French film director, writer, and producer known for making highly visual thriller and action films.  Besson has been nominated for, and won, numerous awards and honors from the foreign press, and is often credited as inventing the so-called ""Cinema du look"" movement in French film.  

Born in Paris, Besson spent his childhood traveling Europe with his parents and developing an enthusiasm for ocean diving, before an accident would push him toward the world of cinema. After taking odd jobs in the Parisian film scene of the time, Besson began writing stories that would eventually evolve into some of his greatest film successes: The Fifth Element and Le Grand Bleu.  

In 1980 he founded his own production company, Les Films du Loup later Les Films du Dauphin, and later still EuropaCorp film company with his longtime collaborator, Pierre-Ange Le Poga. Besson's work stretches over twenty-six years and encompasses at least fifty-films.",1959-03-18,,59.0,Directing,"Paris, France",5.0691,https://image.tmdb.org/t/p/w500//dXJdczT1NcvcZtnoWVGT0NmG11v.jpg
nm0000114,Steve Buscemi,1957.0,,"actor,producer,director","tt0116282,tt0162346,tt0105236,tt4686844",Steven Vincent Buscemi is an American actor. He is known for his work as an acclaimed character actor. Multiple film critics and media outlets have cited Buscemi as one of the best actors never to have received an Academy Award nomination.,1957-12-13,,884.0,Acting,"New York City, New York, USA",6.5077,https://image.tmdb.org/t/p/w500//lQKdHMxfYcCBOvwRKBAxPZVNtkg.jpg
nm0000136,Johnny Depp,1963.0,,"actor,producer,director","tt0325980,tt0408236,tt0449088,tt0383574","John Christopher Depp II (born June 9, 1963) is an American actor, producer and musician. He is the recipient of various accolades, including a Golden Globe Award and a Screen Actors Guild Award, in addition to nominations for three Academy Awards and two British Academy Film Awards.

Depp made his debut in the horror film A Nightmare on Elm Street (1984), before rising to prominence as a teen idol on the television series 21 Jump Street (1987–1990). In the 1990s, Depp acted mostly in independent films, often playing eccentric characters. These included What's Eating Gilbert Grape (1993), Benny and Joon (1993), Dead Man (1995), Donnie Brasco (1997) and Fear and Loathing in Las Vegas (1998). Depp also began collaborating with director Tim Burton, starring in Edward Scissorhands (1990), Ed Wood (1994) and Sleepy Hollow (1999).

In the 2000s, Depp became one of the most commercially successful film stars by playing Captain Jack Sparrow in the swashbuckler film series Pirates of the Caribbean (2003–present). He received critical praise for Finding Neverland (2004), and continued his commercially successful collaboration with Tim Burton with the films Charlie and the Chocolate Factory (2005), Corpse Bride (2005), Sweeney Todd: The Demon Barber of Fleet Street (2007), and Alice in Wonderland (2010). In 2012, Depp was one of the world's biggest film stars, and was listed by the Guinness World Records as the world's highest-paid actor, with earnings of US$75 million. During the 2010s, Depp began producing films through his company, Infinitum Nihil, and formed the rock supergroup Hollywood Vampires with Alice Cooper and Joe Perry.",1963-06-09,,85.0,Acting,"Owensboro, Kentucky, USA ",22.9552,https://image.tmdb.org/t/p/w500//wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg
nm0000160,Ethan Hawke,1970.0,,"actor,producer,writer","tt0139654,tt0112471,tt2209418,tt0381681","Ethan Green Hawke (born November 6, 1970) is an American actor, writer and director. He made his feature film debut in 1985 with the science fiction movie Explorers, before making a supporting appearance in the 1989 drama Dead Poets Society which is considered his breakthrough role. He then appeared in such films as White Fang (1991), A Midnight Clear (1992), and Alive (1993) before taking a role in the 1994 Generation X drama Reality Bites, for which he gained critical acclaim. In 1995, he starred in the romantic drama Before Sunrise, and later in its sequel Before Sunset (2004).

In 2001, Hawke was cast as a rookie police officer in Training Day, for which he received a Screen Actors Guild and Academy Award nomination in the Best Supporting Actor category. Other films have included the science fiction feature Gattaca (1997), the title role in Michael Almereyda's Hamlet (2000), the action thriller Assault on Precinct 13 (2005), and the crime drama Before the Devil Knows You're Dead (2007).

Hawke has appeared in many theater productions including The Seagull, Henry IV, Hurlyburly, The Cherry Orchard, The Winter's Tale and The Coast of Utopia, for which he earned a Tony Award nomination. He made his directorial debut with the 2002 independent feature Chelsea Walls. In November 2007 Hawke directed his first play, Jonathan Marc Sherman's Things We Want. Aside from acting, he has written two novels, The Hottest State (1996) and Ash Wednesday (2002). Between 1998 and 2004, Hawke was married to actress Uma Thurman.

Description above from the Wikipedia article Ethan Hawke, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1970-11-06,,569.0,Acting,"Austin, Texas, USA",7.1484,https://image.tmdb.org/t/p/w500//slO6aoxA5Pwiy42yt8Fxz5bm1kH.jpg
nm0000187,Madonna,1958.0,,"music_artist,actress,composer","tt0104694,tt0116250,tt0089017,tt0156841","Madonna (born Madonna Louise Ciccone; August 16, 1958) is an American recording artist, actress and entrepreneur. Born in Bay City, Michigan, she moved to New York City in 1977 to pursue a career in modern dance. After performing in the music groups Breakfast Club and Emmy, she released her debut album in 1983. She followed it with a series of albums in which she found immense popularity by pushing the boundaries of lyrical content in mainstream popular music and imagery in her music videos, which became a fixture on MTV. Throughout her career, many of her songs have hit number one on the record charts, including ""Like a Virgin"", ""Papa Don't Preach"", ""Like a Prayer"", ""Vogue"", ""Frozen"", ""Music"", ""Hung Up"", and ""4 Minutes"". Critics have praised Madonna for her diverse musical productions while at the same time serving as a lightning rod for religious controversy.

Her career was further enhanced by film appearances that began in 1979, despite mixed commentary. She won critical acclaim and a Golden Globe Award for Best Actress in Motion Picture Musical or Comedy for her role in Evita (1996), but has received harsh feedback for other film roles. Madonna's other ventures include being a fashion designer, children's book author, film director and producer. She has been acclaimed as a businesswoman, and in 2007, she signed an unprecedented US $120 million contract with Live Nation.

Madonna has sold more than 300 million records worldwide and is recognized as the world's top-selling female recording artist of all time by the Guinness World Records. According to the Recording Industry Association of America (RIAA), she is the best-selling female rock artist of the 20th century and the second top-selling female artist in the United States, behind Barbra Streisand, with 64 million certified albums. In 2008, Billboard magazine ranked Madonna at number two, behind only The Beatles, on the Billboard Hot 100 All-Time Top Artists, making her the most successful solo artist in the history of the Billboard chart. She was also inducted into the Rock and Roll Hall of Fame in the same year. Considered to be one of the ""25 Most Powerful Women of the Past Century"" by Time for being an influential figure in contemporary music, Madonna is known for continuously reinventing both her music and image, and for retaining a standard of autonomy within the recording industry.

On May 4, 2024, with a free concert which was live streamed at the Copacabana Beach in Rio de Janeiro, Brazil, in front of  1.6 million people, Madonna broke the record for the most attended stand-alone concert by any artist, and the all-time highest attended concert by a female artist.",1958-08-16,,3125.0,Acting,"Bay City, Michigan, USA",5.005,https://image.tmdb.org/t/p/w500//8XtGxpB4z428QDgwKlFYPktYHFC.jpg
nm0000218,Kristin Scott Thomas,1960.0,,"actress,director,writer","tt0280707,tt0116209,tt0109831,tt1602613","Dame Kristin Ann Scott Thomas (born 24 May 1960) is a British actress who also holds French citizenship. A five-time BAFTA Award and Olivier Award nominee, she won the BAFTA Award for Best Actress in a Supporting Role for Four Weddings and a Funeral (1994) and the Olivier Award for Best Actress in 2008 for the Royal Court revival of The Seagull. She was nominated for the Academy Award for Best Actress in The English Patient (1996).

Scott Thomas made her film debut in Under the Cherry Moon (1986), and won the Evening Standard Film Award for Most Promising Newcomer for A Handful of Dust (1988). Her work includes Bitter Moon (1992), Mission: Impossible (1996), The Horse Whisperer (1998), Gosford Park (2001), The Valet (2006), and Tell No One (2007). She won the European Film Award for Best Actress for Philippe Claudel's I've Loved You So Long (2008). Her other films include Leaving (2009), Love Crime (2010), Sarah's Key (2010), Nowhere Boy (2010), The Woman in the Fifth (2011), Only God Forgives (2013), Darkest Hour (2017), and Tomb Raider (2018).

She was appointed Officer of the Order of the British Empire (OBE) in the 2003 Birthday Honours and Dame Commander of the Order of the British Empire (DBE) in the 2015 New Year Honours for services to drama. She was named a Chevalier of the Légion d'honneur by the French government in 2005.",1960-05-24,,5470.0,Acting,"Redruth, Cornwall, England, UK",4.782,https://image.tmdb.org/t/p/w500//axksw0vAjBPSW02ZqpcC0V8rPD7.jpg
nm0000241,Jean-Claude Van Damme,1960.0,,"actor,producer,writer","tt0101764,tt0119013,tt0097659,tt0111301","Van Damme was born Jean-Claude Camille François van Varenberg in Berchem-Sainte-Agathe, Brussels, Belgium, to Eliana and Eugène van Varenberg, an accountant. “The Muscles from Brussels” started martial arts at the age of eleven. His father introduced him to martial arts when he saw his son was physically weak. At the age of 12, van Damme began his martial arts training at Centre National De Karate (National Center of Karate) under the guidance of Master Claude Goetz in Ixelles, Belgium. Van Damme trained for 4 years and earned a spot on the Belgium Karate Team. He won the European professional karate association's middleweight championship as a teenager, and also beat the 2nd best karate fighter in the world. His goal was to be number one but got sidetracked when he left his hometown of Brussels.

In 1976 at the age of sixteen, Jean-Claude started his Martial Arts fight career. Jean-Claude retired from martial arts in 1982, following a knockout over Nedjad Gharbi in Brussels, Belgium. Jean-Claude posted a 18-1 (18 knockouts) kickboxing record, and a semi-contact record of 41-4.  He came to Hong Kong at the age of 19 for the first time and felt insured to do action movies in Hong Kong. In 1981, van Damme moved to Los Angeles. He took English classes while working as carpet layer, pizza delivery man, limo driver, and thanks to Chuck Norris he got a job as a bouncer at a club. Norris gave van Damme a small role in the movie Missing in Action (1984), but it wasn't good enough to get anybody's attention. In 1984, he got his first significant role as a villain named Ivan in the low-budget movie, No Retreat, No Surrender (1986). Then one day, while walking on the streets, Jean-Claude spotted a producer for Cannon Pictures and showed some of his martial arts abilities which led to a role in Bloodsport (1988). The movie, filmed in Hong Kong, was so bad when it was completed, it was shelved for almost two years. It might have never been released if van Damme did not help them to re-cut the film and begged producers to release it. They finally released the film, first in Malaysia and France and then into the US shot on a meager 1.5 million dollar budget, it became a US box-office hit in the spring of 1988. It made about 30 million worldwide and audiences supported this film for its new sensational action star, Jean-Claude van Damme.

His good looks led to starring roles in higher budgeted movies like Cyborg (1989), AWOL: Absent Without Leave (1990), Double Impact (1991) and Universal Soldier (1992). In 1994, he scored with his big breakthrough $100 million worldwide hit Timecop (1994). But in the meantime, his personal life was coming apart. A divorce, followed by a new marriage, followed by another divorce. It began to show up in his career when his projects began to tank at the box office: The Quest (1996), which he directed; Maximum Risk (1996) and Double Team (1997). The three films made less than $50 million combined. In 1999, he remarried his ex-wife, Gladys Portugues, and restarted his lost career to attain new goals. With help from his family, he faced his problems and made movies like Replicant (2001), Derailed (2002), and In Hell (2003).",1960-10-18,,15111.0,Acting,"Berchem-Sainte-Agathe, Brussels, Belgium",11.9929,https://image.tmdb.org/t/p/w500//7DP3bm3MS0qa0L8tBLHGebbCu6H.jpg
nm0000254,Isabelle Adjani,1955.0,,"actress,producer,miscellaneous","tt0082933,tt0094828,tt0079641,tt0073114","Isabelle Yasmine Adjani (born June 27, 1955) is a French film actress and singer. Adjani has appeared in 30 films since 1970. She holds the record for most César Award for Best Actress with five, for Possession (1981), One Deadly Summer (1983), Camille Claudel (1988), Queen Margot (1994) and Skirt Day (2009). She was also given a double Cannes Film Festival Best Actress Award in 1981. She also received two Academy Award nominations for Best Actress. She performs in French, English, and German.",1955-06-27,,6553.0,Acting,"Paris, France",4.2188,https://image.tmdb.org/t/p/w500//enki8q6xq7U3UVJdJ6A3xFU7lC1.jpg
nm0000266,Ursula Andress,1936.0,,"actress,soundtrack,archive_footage","tt0055928,tt0061452,tt0060177,tt0082186","Ursula Andress is a Swiss-American actress and former sex symbol. She is best known for her role as Bond girl Honey Ryder in the first James Bond film, Dr. No, for which she won a Golden Globe. She later starred as Vesper Lynd in the Bond-parody Casino Royale.",1936-03-19,,9871.0,Acting,"Ostermundigen, Bern, Switzerland",3.1768,https://image.tmdb.org/t/p/w500//mZSFE3vayIgXmfot4btC7K1rECZ.jpg
nm0000269,Jean-Jacques Annaud,1943.0,,"director,producer,writer","tt0091605,tt0215750,tt2909116,tt0120102","Annaud was born in Juvisy-sur-Orge, Essonne. He was educated at the technical school in Vaugirard and in 1964 graduated from the prestigious film school Institut des Hautes Études Cinématographiques (IDHEC) in Paris.

He began his career by directing television advertisements in the late 1960s to early 1970s. In his first feature film, Black and White in Color from 1976, he used personal experience obtained during his own military service in Cameroon. The film won an Academy Award for the Best Foreign Language Film. His third film Quest for Fire (La Guerre du feu) received two Césars for best film and best director.

In 1986 he directed The Name of the Rose, a film adaptation of Umberto Eco's popular novel of the same name. The film version, with a screenplay written by Andrew Birkin, won two BAFTA Film Awards and was the subject of another 14 wins & two nominations. Jean-Jacques Annaud spent four years preparing for the film, traveling throughout the United States as well as Europe, searching for the perfect cast and film set locations. He supposedly felt personally intrigued by the project, among other things because of a lifelong fascination with medieval churches and a great familiarity with Latin and Greek.[citation needed]

For Seven Years in Tibet, a film adaptation of the life of Heinrich Harrer, he has received a lifelong denial of entry to China, as have starring actors Brad Pitt and David Thewlis.

In 2000 he wrote and produced Running Free directed by Sergei Bodrov. He also directed the 2001 film Enemy at the Gates, detailing the exploits of Vassili Zaitsev during the Battle of Stalingrad.

His latest work was filmed in the year 2006, a film known by the name His Majesty Minor, which was filmed in Benitatxell and Benigembla, basically in the district of the Marina Alta, which is located in the Valencian Community.

Annaud's next project will be the film adaptation of the award-winning best-selling Chinese novel Wolf Totem.",1943-10-01,,2352.0,Directing,"Juvisy-sur-Orge, Essonne, France",1.9266,https://image.tmdb.org/t/p/w500//dSVa9BbqtcJmH8YJmVtna0ciBim.jpg
nm0000272,Fanny Ardant,1949.0,,"actress,director,writer","tt0283832,tt0086551,tt0127536,tt0082370","Fanny Marguerite Judith Ardant (born 22 March 1949) is a French actress and filmmaker. She is the recipient of numerous accolades, including two César Awards and a Lumières Award.

Description above from the Wikipedia article Fanny Ardant, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1949-03-22,,20234.0,Acting,"Saumur, Maine-et-Loire, France",2.9496,https://image.tmdb.org/t/p/w500//q8Hj88E3ME5z795haGMqVDwFDjp.jpg
nm0000300,Juliette Binoche,1964.0,,"actress,art_department,miscellaneous","tt0116209,tt2452254,tt1219827,tt0108394","Juliette Binoche (born 9 March 1964) is a French actress, artist and dancer. She has appeared in more than 40 feature films, been recipient of numerous international accolades, is a published author and has appeared on stage across the world. Coming from an artistic background, she began taking acting lessons during adolescence. After performing in several stage productions, she was propelled into the world of auteurs Jean-Luc Godard (Hail Mary, 1985), Jacques Doillon (Family Life, 1985) and André Téchiné, who made her a star in France with the leading role in his 1985 drama Rendez-vous. Her sensual performance in her English-language debut The Unbearable Lightness of Being (1988), directed by Philip Kaufman, launched her international career.

She sparked the interest of Steven Spielberg, who offered her several parts including a role in Jurassic Park which she declined, choosing instead to join Krzysztof Kieslowski on the set of Three Colors: Blue (1993), a performance for which she won the Venice Film Festival Award for Best Actress and a César. Three years later Binoche gained further acclaim in Anthony Minghella’s The English Patient (1996), for which she was awarded an Academy Award and a BAFTA for Best Supporting Actress in addition to the Best Actress Award at the 1997 Berlin Film Festival. For her performance in Lasse Hallström’s romantic comedy Chocolat (2000) Binoche was nominated for an Academy Award for Best Actress.

During the 2000s she maintained a successful, critically acclaimed career, alternating between French and English language roles in both mainstream and art-house productions. In 2010 she won the Best Actress Award at the Cannes Film Festival for her role in Abbas Kiarostami’s Certified Copy making her the first actress to win the European “best actress triple crown”.

Throughout her career Binoche has intermittently appeared on stage, most notably in a 1998 London production of Luigi Pirandello’s Naked and in a 2000 production of Harold Pinter's Betrayal on Broadway for which she was nominated for a Tony Award. In 2008 she began a world tour with a modern dance production in-i devised in collaboration with Akram Khan. Affectionately referred to as ""La Binoche"" by the French press, her other notable performances include: Mauvais Sang (1986), Les Amants du Pont-Neuf, Damage (1992), The Horseman on the Roof (1995), Code Unknown (2000), Caché (2005), Breaking and Entering (2006) and Flight of the Red Balloon (2007).

Description above from the Wikipedia article Juliette Binoche, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1964-03-09,,1137.0,Acting,"Paris, France",5.0741,https://image.tmdb.org/t/p/w500//llNGfF2gNBa1l39iqmjhZuDDzn6.jpg
nm0000302,Jacqueline Bisset,1944.0,,"actress,producer,soundtrack","tt0062765,tt0071877,tt0088322,tt0421054","Jacqueline Bisset (born 13 September 1944) is an English actress. She has been nominated for four Golden Globe Awards and an Emmy Award. She is known for her roles in the films Bullitt (1968), Airport (1970), The Deep (1977), Class (1983), and the TV series Nip/Tuck in 2006. She has also appeared in several French productions and was nominated for a César Award for La cérémonie (1995). She was awarded the Légion d'Honneur in 2010.",1944-09-13,,14061.0,Acting,"Weybridge, Surrey, England, UK",4.3832,https://image.tmdb.org/t/p/w500//ilIBKvLu4dPMl5WOczXvt7DsIss.jpg
